extent,metric,year,stat,value
all,cc,2011,mean,35.64040287603191
pac,cc,2011,mean,56.21931961365555
all,cc,2020,mean,29.689893067798987
pac,cc,2020,mean,31.00670078372263
all,cc_deg,2020,mean,16.226265644981858
pac,cc_deg,2020,mean,26.141810597363104
all,ht_ft,2011,mean,43.826865158620805
pac,ht_ft,2011,mean,78.59241107488847
all,cc,2011,median,37.144277572631836
pac,cc,2011,median,56.94711685180664
all,cc,2020,median,32.14561080932617
pac,cc,2020,median,34.00517272949219
all,cc_deg,2020,median,8.538017272949219
pac,cc_deg,2020,median,21.076446533203125
all,ht_ft,2011,median,41.749067306518555
pac,ht_ft,2011,median,83.15904235839844
